Designator,Footprint,Quantity,Value,LCSC Part #
BAT1,batteryHolder,1,20mm coincell,
"C10, C16, C17, C18, C19, C22, C23",ceramicCap10uF,7,10uF,
C11,ceramicCap3_9pF,1,3.9pF,
"C12, C13, C15",C0GCap0_1uF,3,0.1uF,
"C14, C20, C21, C26, C27",ceramicCap0_1uF,5,0.1uF,
"C24, C25",C0GCap0_01uF,2,0.01uF,
C9,ceramicCap0_1uF,1,100nF,
"D1, D2, D3, D4",greenLed,4,LED,
IC1,lm4041,1,LM4041CILPR,
IC2,ina828,1,INA828IDR,
IC3,ppg,1,MAX30102EFD+T,
IC4,boost3_3v,1,TPS63001DRCT,
IC5,opAmp,1,OPA2350UA,
IC6,buck1_8v,1,TPS62293DRVR,
J1,swdConnector,1,Conn_02x05_Odd_Even,
J2,pinHeader1x4,1,Conn_01x04_Pin,
"L1, L2",inductor,2,2.2uH,
R11,res2K7,1,2.7k,
"R12, R14, R24",res4K7,3,4.7k,
"R13, R20, R27",res100,3,100,
"R15, R22",res1K,2,1k,
"R16, R17",res100K,2,100k,
R18,res5K6,1,5.6k,
"R19, R21",res1M,2,1M,
R23,res200K,1,200k,
"R25, R26",red47K,2,47k,
RN1,resArray4,1,470,
"RN2, RN3",resArray2,2,4.7k,
SW1,button,1,SW_Push,
SW2,spdt,1,SW_SPDT,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7",testPoint,7,TestPoint,
"U10, U11, U8, U9",solderPad,4,~,
U4,BL54Lxx-LGA-39_14x10mm,1,BL54L15-453-000xxx,
U5,imu,1,LSM6DSOTR,
"U6, U7",silverContacts,2,~,
Y3,crystal32768,1,NX3215SA-32.768K-STD-MUA-8,
