Designator,Mid X,Mid Y,Rotation,Layer
BAT1,86.0,-85.5,90.0,top
C10,82.559968,-70.349046,0.0,top
C11,85.75,-65.45,270.0,top
C12,70.0,-119.0,0.0,top
C13,87.5,-119.0,180.0,top
C14,75.95,-109.15,180.0,top
C15,80.0,-111.2,90.0,top
C16,66.9,-82.9,180.0,top
C17,65.5,-103.65,270.0,top
C18,75.25,-72.5,90.0,top
C19,71.75,-72.5,90.0,top
C20,78.4,-74.05,90.0,top
C21,84.929173,-105.777558,90.0,top
C22,70.25,-110.5,180.0,top
C23,78.5,-97.0,180.0,top
C24,88.3,-100.7,0.0,top
C25,92.929173,-107.977558,90.0,top
C26,81.6,-116.2,90.0,top
C27,91.7,-112.5,180.0,top
C9,82.5,-67.25,0.0,top
D1,71.25,-58.5,180.0,top
D2,66.75,-58.5,180.0,top
D3,66.8,-61.8,180.0,top
D4,71.25,-61.8,180.0,top
IC1,70.1,-114.55,90.0,top
IC2,76.0,-114.4,90.0,top
IC3,78.35,-103.3,90.0,bottom
IC4,72.85,-77.6,0.0,top
IC5,89.25,-105.711,90.0,top
IC6,67.0,-100.0,180.0,top
J1,89.46,-55.075,180.0,top
J2,68.55,-92.44,90.0,top
L1,71.7375,-82.2,180.0,top
L2,69.625,-103.575,180.0,top
R11,66.0,-111.5,0.0,top
R12,85.75,-62.5,270.0,top
R13,88.5,-60.5,0.0,top
R14,69.8,-117.1,180.0,top
R15,67.9,-114.8,90.0,top
R16,74.0,-119.4,0.0,top
R17,83.45,-119.4,0.0,top
R18,72.361411,-114.508827,90.0,top
R19,90.25,-110.25,0.0,top
R20,75.0,-82.2,270.0,top
R21,85.45,-110.5,180.0,top
R22,80.25,-108.0,180.0,top
R23,82.75,-109.0,90.0,top
R24,72.25,-100.3,90.0,top
R25,92.0,-101.0,180.0,top
R26,92.929173,-104.677558,270.0,top
R27,92.0,-60.5,180.0,top
RN1,71.0,-66.3,0.0,top
RN2,71.925,-107.335,270.0,top
RN3,82.165,-112.575,180.0,top
SW1,90.1,-66.375,270.0,top
SW2,66.7675,-76.15,270.0,top
TP1,66.6,-66.25,270.0,top
TP2,65.8,-114.5,90.0,top
TP3,92.2,-73.2,270.0,top
TP4,67.3,-69.8,0.0,top
TP5,92.2,-97.9,270.0,top
TP6,66.7,-107.25,0.0,top
TP7,91.3,-116.1,180.0,top
U10,91.0,-65.5,180.0,bottom
U11,67.115118,-65.48172,180.0,bottom
U4,79.3,-58.2,0.0,top
U5,86.163,-114.088,0.0,top
U6,66.25,-119.15,180.0,top
U7,91.75,-119.15,0.0,top
U8,91.0,-105.5,180.0,bottom
U9,67.0,-105.5,180.0,bottom
Y3,77.404807,-67.775827,180.0,top
